Ef: -4.97713122026
-12.0514358809 , 1.33500428483e-09
-12.0463149245 , 1.72026580562e-07
-12.041193968 , 1.31198234396e-05
-12.0360730116 , 0.000592215760383
-12.0309520551 , 0.0158216388826
-12.0258310987 , 0.250174195205
-12.0207101422 , 2.34127857796
-12.0155891858 , 12.9683047638
-12.0104682293 , 42.5140874427
-12.0053472729 , 82.490142024
-12.0002263164 , 94.730706831
-11.9951053599 , 64.3871260888
-11.9899844035 , 25.9016148044
-11.984863447 , 6.16700324161
-11.9797424906 , 0.86904256732
-11.9746215341 , 0.0724815478091
-11.9695005777 , 0.00357794289571
-11.9643796212 , 0.000104534317353
-11.9592586648 , 1.80760655119e-06
-11.9541377083 , 1.84998608758e-08
-11.9490167519 , 1.12060499698e-10
-11.9438957954 , 4.01750275878e-13
-11.938774839 , 8.5247048065e-16
-11.9336538825 , 1.07058721145e-18
-11.9285329261 , 7.9576400365e-22
-11.9234119696 , 3.50079004419e-25
-11.9182910132 , 9.11522466164e-29
-11.9131700567 , 1.40471531275e-32
-11.9080491003 , 1.28418181985e-36
-11.9029281438 , 3.01652611375e-39
-11.8978071874 , 2.95093676301e-39
-11.8926862309 , 2.95093676301e-39
-11.8875652745 , 2.95093676301e-39
-11.882444318 , 2.95093676301e-39
-11.8773233616 , 2.95093676301e-39
-11.8722024051 , 2.95093676301e-39
-11.8670814487 , 2.95093676301e-39
-11.8619604922 , 2.95093676301e-39
-11.8568395358 , 2.95093676301e-39
-11.8517185793 , 2.89733158909e-38
-11.8465976229 , 3.76592216446e-34
-11.8414766664 , 3.22407809934e-30
-11.83635571 , 1.63366967209e-26
-11.8312347535 , 4.89941278779e-23
-11.8261137971 , 8.69650812144e-20
-11.8209928406 , 9.13622681966e-17
-11.8158718842 , 5.68080562432e-14
-11.8107509277 , 2.09061506937e-11
-11.8056299712 , 4.55364650233e-09
-11.8005090148 , 5.87037223501e-07
-11.7953880583 , 4.47912370338e-05
-11.7902671019 , 0.00202274698633
-11.7851461454 , 0.0540643714085
-11.780025189 , 0.855267249487
-11.7749042325 , 8.00780732029
-11.7697832761 , 44.3758286661
-11.7646623196 , 145.546050656
-11.7595413632 , 282.537086752
-11.7544204067 , 324.617245123
-11.7492994503 , 220.743945161
-11.7441784938 , 88.843794591
-11.7390575374 , 21.1634509203
-11.7339365809 , 2.98378109368
-11.7288156245 , 0.248982323967
-11.723694668 , 0.012296773128
-11.7185737116 , 0.000359447022227
-11.7134527551 , 6.21870141111e-06
-11.7083317987 , 6.36774413011e-08
-11.7032108422 , 3.8591582509e-10
-11.6980898858 , 1.38426951735e-12
-11.6929689293 , 2.93879848115e-15
-11.6878479729 , 3.69266611404e-18
-11.6827270164 , 2.74619491248e-21
-11.67760606 , 1.20877023629e-24
-11.6724851035 , 3.14903319896e-28
-11.6673641471 , 4.855476187e-32
-11.6622431906 , 4.43399680248e-36
-11.6571222342 , 3.17801799447e-39
-11.6520012777 , 2.95093676301e-39
-11.6468803213 , 2.95093676301e-39
-11.6417593648 , 2.95093676301e-39
-11.6366384084 , 2.95093676301e-39
-11.6315174519 , 2.95093676301e-39
