6.14, 92.25, -133.06560228
6.14, 92.35, -133.07353833
6.14, 92.45, -133.08109378
6.14, 92.55, -133.08789906
6.14, 92.66, -133.09385424
6.14, 92.76, -133.10009625
6.14, 92.86, -133.10584661
6.14, 92.96, -133.11111187
6.14, 93.06, -133.11574750
6.14, 93.17, -133.11951504
6.14, 93.27, -133.12247131
6.14, 93.37, -133.12476583
6.14, 93.47, -133.12614126
6.14, 93.57, -133.12677930
6.14, 93.67, -133.12698496
6.14, 93.78, -133.12668849
6.14, 93.88, -133.12601969
6.14, 93.98, -133.12463654
6.14, 94.08, -133.12229664
6.14, 94.18, -133.11928960
6.14, 94.28, -133.11526021
6.14, 94.39, -133.11030119
6.14, 94.49, -133.10531076
6.14, 94.59, -133.10072871
6.14, 94.69, -133.09524522
6.14, 94.79, -133.09025862
6.14, 94.89, -133.08479007
6.14, 95.00, -133.07864426
6.14, 95.10, -133.07174322
6.15, 90.00, -132.75491315
6.15, 90.10, -132.77742147
6.15, 90.20, -132.79916815
6.15, 90.31, -132.81998999
6.15, 90.41, -132.83978630
6.15, 90.51, -132.85882127
6.15, 90.61, -132.87689047
6.15, 90.72, -132.89398639
6.15, 90.82, -132.91016192
6.15, 90.92, -132.92621094
6.15, 91.02, -132.94239749
6.15, 91.12, -132.95848129
6.15, 91.23, -132.97415764
6.15, 91.33, -132.98887761
6.15, 91.43, -133.00283457
6.15, 91.53, -133.01636508
6.15, 91.63, -133.02895607
6.15, 91.74, -133.04038876
6.15, 91.84, -133.05100267
6.15, 91.94, -133.06069670
6.15, 92.04, -133.06985918
6.15, 92.14, -133.07823978
6.15, 92.24, -133.08575741
6.15, 92.35, -133.09247744
6.15, 92.45, -133.09842945
6.15, 92.55, -133.10427209
6.15, 92.65, -133.10984858
6.15, 92.75, -133.11514350
6.15, 92.86, -133.11972896
6.15, 92.96, -133.12348971
6.15, 93.06, -133.12646590
6.15, 93.16, -133.12864617
6.15, 93.26, -133.13004085
6.15, 93.36, -133.13073895
6.15, 93.47, -133.13093570
6.15, 93.57, -133.13051804
6.15, 93.67, -133.12979872
6.15, 93.77, -133.12853173
6.15, 93.87, -133.12656751
6.15, 93.97, -133.12365071
6.15, 94.07, -133.11992268
6.15, 94.18, -133.11520679
6.15, 94.28, -133.11048372
6.15, 94.38, -133.10575848
6.15, 94.48, -133.10034622
6.15, 94.58, -133.09528009
6.15, 94.68, -133.08978925
6.15, 94.79, -133.08364839
6.15, 94.89, -133.07673525
6.15, 94.99, -133.06909983
6.15, 95.09, -133.06072455
6.1, 90.00, -132.44287634
6.1, 90.10, -132.47357116
6.1, 90.21, -132.50440883
6.1, 90.31, -132.53433526
6.1, 90.41, -132.56335728
6.1, 90.52, -132.59139951
6.1, 90.62, -132.61846398
6.1, 90.72, -132.64460203
6.1, 90.82, -132.66975593
6.1, 90.93, -132.69418893
6.1, 91.03, -132.71779098
6.1, 91.13, -132.74063291
6.1, 91.24, -132.76247574
6.1, 91.34, -132.78330058
6.1, 91.44, -132.80308651
6.1, 91.54, -132.82201654
6.1, 91.65, -132.84003142
6.1, 91.75, -132.85769001
6.1, 91.85, -132.87512239
6.1, 91.95, -132.89193312
6.1, 92.06, -132.90882726
6.1, 92.16, -132.92488644
6.1, 92.26, -132.94019747
6.1, 92.37, -132.95500201
6.1, 92.47, -132.96881993
6.1, 92.57, -132.98169164
6.1, 92.67, -132.99351381
6.1, 92.78, -133.00466824
6.1, 92.88, -133.01528545
6.1, 92.98, -133.02512561
6.1, 93.08, -133.03400029
6.1, 93.19, -133.04201477
6.1, 93.29, -133.04925281
6.1, 93.39, -133.05639841
6.1, 93.49, -133.06328140
6.1, 93.60, -133.06952498
6.1, 93.70, -133.07524337
6.1, 93.80, -133.08020843
6.1, 93.90, -133.08471002
6.1, 94.01, -133.08870755
6.1, 94.11, -133.09185614
6.1, 94.21, -133.09433917
6.1, 94.31, -133.09592099
6.1, 94.42, -133.09689512
6.1, 94.52, -133.09756946
6.1, 94.62, -133.09821472
6.1, 94.72, -133.09787558
6.1, 94.82, -133.09675801
6.1, 94.93, -133.09475498
6.1, 95.03, -133.09180566
6.1, 95.13, -133.08800593
6.16, 90.00, -132.80173666
6.16, 90.10, -132.82252323
6.16, 90.20, -132.84232843
6.16, 90.31, -132.86134161
6.16, 90.41, -132.87944874
6.16, 90.51, -132.89651994
6.16, 90.61, -132.91263097
6.16, 90.71, -132.92813799
6.16, 90.82, -132.94415285
6.16, 90.92, -132.96012333
6.16, 91.02, -132.97570906
6.16, 91.12, -132.99062465
6.16, 91.22, -133.00498644
6.16, 91.33, -133.01854576
6.16, 91.43, -133.03105233
6.16, 91.53, -133.04257288
6.16, 91.63, -133.05360603
6.16, 91.73, -133.06388088
6.16, 91.83, -133.07303881
6.16, 91.94, -133.08139894
6.16, 92.04, -133.08900569
6.16, 92.14, -133.09570458
6.16, 92.24, -133.10165264
6.16, 92.34, -133.10701783
6.16, 92.44, -133.11264265
6.16, 92.55, -133.11785546
6.16, 92.65, -133.12235157
6.16, 92.75, -133.12614376
6.16, 92.85, -133.12904800
6.16, 92.95, -133.13115564
6.16, 93.05, -133.13261726
6.16, 93.16, -133.13369819
6.16, 93.26, -133.13421819
6.16, 93.36, -133.13406519
6.16, 93.46, -133.13360706
6.16, 93.56, -133.13250582
6.16, 93.66, -133.13057752
6.16, 93.76, -133.12763309
6.16, 93.87, -133.12397361
6.16, 93.97, -133.11988063
6.16, 94.07, -133.11520098
6.16, 94.17, -133.11023092
6.16, 94.27, -133.10465521
6.16, 94.37, -133.09926556
6.16, 94.47, -133.09361065
6.16, 94.57, -133.08736854
6.16, 94.68, -133.08037477
6.16, 94.78, -133.07270361
6.16, 94.88, -133.06440463
6.16, 94.98, -133.05531586
6.16, 95.08, -133.04596402
6.17, 90.00, -132.84333694
6.17, 90.10, -132.86221040
6.17, 90.20, -132.88037512
6.17, 90.31, -132.89744395
6.17, 90.41, -132.91358166
6.17, 90.51, -132.92882505
6.17, 90.61, -132.94436329
6.17, 90.71, -132.96050497
6.17, 90.81, -132.97605486
6.17, 90.92, -132.99111207
6.17, 91.02, -133.00539689
6.17, 91.12, -133.01905236
6.17, 91.22, -133.03187215
6.17, 91.32, -133.04413583
6.17, 91.42, -133.05513389
6.17, 91.53, -133.06539361
6.17, 91.63, -133.07458201
6.17, 91.73, -133.08294983
6.17, 91.83, -133.09048179
6.17, 91.93, -133.09725321
6.17, 92.03, -133.10318331
6.17, 92.14, -133.10838365
6.17, 92.24, -133.11376270
6.17, 92.34, -133.11901726
6.17, 92.44, -133.12391228
6.17, 92.54, -133.12805658
6.17, 92.64, -133.13111746
6.17, 92.74, -133.13354556
6.17, 92.85, -133.13521111
6.17, 92.95, -133.13636028
6.17, 93.05, -133.13683014
6.17, 93.15, -133.13664900
6.17, 93.25, -133.13599267
6.17, 93.35, -133.13494156
6.17, 93.45, -133.13301472
6.17, 93.56, -133.13011280
6.17, 93.66, -133.12684514
6.17, 93.76, -133.12304806
6.17, 93.86, -133.11837642
6.17, 93.96, -133.11319530
6.17, 94.06, -133.10765861
6.17, 94.16, -133.10211223
6.17, 94.26, -133.09650336
6.17, 94.37, -133.09020764
6.17, 94.47, -133.08313855
6.17, 94.57, -133.07544104
6.17, 94.67, -133.06693031
6.17, 94.77, -133.05756312
6.17, 94.87, -133.04780555
6.17, 94.97, -133.03787783
6.17, 95.07, -133.02730452
6.18, 90.00, -132.87964167
6.18, 90.10, -132.89678457
6.18, 90.20, -132.91291665
6.18, 90.31, -132.92807365
6.18, 90.41, -132.94296343
6.18, 90.51, -132.95912475
6.18, 90.61, -132.97480692
6.18, 90.71, -132.98996241
6.18, 90.81, -133.00427043
6.18, 90.91, -133.01834199
6.18, 91.02, -133.03156558
6.18, 91.12, -133.04406025
6.18, 91.22, -133.05522598
6.18, 91.32, -133.06552257
6.18, 91.42, -133.07448721
6.18, 91.52, -133.08289631
6.18, 91.63, -133.09057948
6.18, 91.73, -133.09766556
6.18, 91.83, -133.10388671
6.18, 91.93, -133.10931261
6.18, 92.03, -133.11458271
6.18, 92.13, -133.11986273
6.18, 92.23, -133.12469849
6.18, 92.34, -133.12873064
6.18, 92.44, -133.13189564
6.18, 92.54, -133.13426631
6.18, 92.64, -133.13586797
6.18, 92.74, -133.13707330
6.18, 92.84, -133.13761593
6.18, 92.94, -133.13744420
6.18, 93.04, -133.13660928
6.18, 93.15, -133.13552956
6.18, 93.25, -133.13361998
6.18, 93.35, -133.13096135
6.18, 93.45, -133.12827591
6.18, 93.55, -133.12463005
6.18, 93.65, -133.11986504
6.18, 93.75, -133.11449055
6.18, 93.85, -133.10900982
6.18, 93.95, -133.10314378
6.18, 94.06, -133.09762223
6.18, 94.16, -133.09130742
6.18, 94.26, -133.08423159
6.18, 94.36, -133.07639194
6.18, 94.46, -133.06782770
6.18, 94.56, -133.05865748
6.18, 94.66, -133.04878865
6.18, 94.76, -133.03869606
6.18, 94.86, -133.02850757
6.18, 94.96, -133.01748843
6.18, 95.06, -133.00582293
6.1, 90.00, -132.44287634
6.1, 90.10, -132.47357116
6.1, 90.21, -132.50440883
6.1, 90.31, -132.53433526
6.1, 90.41, -132.56335728
6.1, 90.52, -132.59139951
6.1, 90.62, -132.61846398
6.1, 90.72, -132.64460203
6.1, 90.82, -132.66975593
6.1, 90.93, -132.69418894
6.1, 91.03, -132.71779098
6.1, 91.13, -132.74063291
6.1, 91.24, -132.76247574
6.1, 91.34, -132.78330059
6.1, 91.44, -132.80308651
6.1, 91.54, -132.82201654
6.1, 91.65, -132.84003142
6.1, 91.75, -132.85769000
6.1, 91.85, -132.87512239
6.1, 91.95, -132.89193312
6.1, 92.06, -132.90882726
6.1, 92.16, -132.92488644
6.1, 92.26, -132.94019747
6.1, 92.37, -132.95500201
6.1, 92.47, -132.96881993
6.1, 92.57, -132.98169164
6.1, 92.67, -132.99351381
6.1, 92.78, -133.00466824
6.1, 92.88, -133.01528545
6.1, 92.98, -133.02512561
6.1, 93.08, -133.03400029
6.1, 93.19, -133.04201477
6.1, 93.29, -133.04925281
6.1, 93.39, -133.05639841
6.1, 93.49, -133.06328140
6.1, 93.60, -133.06952498
6.1, 93.70, -133.07524338
6.1, 93.80, -133.08020843
6.1, 93.90, -133.08471002
6.1, 94.01, -133.08870755
6.1, 94.11, -133.09185613
6.1, 94.21, -133.09433917
6.1, 94.31, -133.09592099
6.1, 94.42, -133.09689512
6.1, 94.52, -133.09756946
6.1, 94.62, -133.09821472
6.1, 94.72, -133.09787557
6.1, 94.82, -133.09675801
6.1, 94.93, -133.09475498
6.1, 95.03, -133.09180566
6.1, 95.13, -133.08800593
6.19, 90.00, -132.91039793
6.19, 90.10, -132.92547037
6.19, 90.20, -132.93990731
6.19, 90.30, -132.95588807
6.19, 90.41, -132.97184389
6.19, 90.51, -132.98731240
6.19, 90.61, -133.00223380
6.19, 90.71, -133.01625594
6.19, 90.81, -133.02950921
6.19, 90.91, -133.04211710
6.19, 91.01, -133.05373378
6.19, 91.12, -133.06443799
6.19, 91.22, -133.07398397
6.19, 91.32, -133.08265128
6.19, 91.42, -133.09024592
6.19, 91.52, -133.09733577
6.19, 91.62, -133.10358506
6.19, 91.72, -133.10897129
6.19, 91.83, -133.11377843
6.19, 91.93, -133.11877279
6.19, 92.03, -133.12344774
6.19, 92.13, -133.12750642
6.19, 92.23, -133.13064564
6.19, 92.33, -133.13298185
6.19, 92.43, -133.13468850
6.19, 92.53, -133.13600715
6.19, 92.63, -133.13646184
6.19, 92.74, -133.13626349
6.19, 92.84, -133.13530213
6.19, 92.94, -133.13415782
6.19, 93.04, -133.13224532
6.19, 93.14, -133.13021736
6.19, 93.24, -133.12745132
6.19, 93.34, -133.12385098
6.19, 93.44, -133.11929098
6.19, 93.54, -133.11386650
6.19, 93.65, -133.10827905
6.19, 93.75, -133.10243380
6.19, 93.85, -133.09653865
6.19, 93.95, -133.09019186
6.19, 94.05, -133.08319978
6.19, 94.15, -133.07542429
6.19, 94.25, -133.06689113
6.19, 94.35, -133.05772536
6.19, 94.45, -133.04827426
6.19, 94.55, -133.03862484
6.19, 94.65, -133.02846298
6.19, 94.75, -133.01739722
6.19, 94.86, -133.00571043
6.19, 94.96, -132.99339214
6.19, 95.06, -132.98043582
6.21, 90.00, -132.96606962
6.21, 90.10, -132.98176133
6.21, 90.20, -132.99680223
6.21, 90.30, -133.01099151
6.21, 90.40, -133.02428299
6.21, 90.51, -133.03690917
6.21, 90.61, -133.04877133
6.21, 90.71, -133.05936593
6.21, 90.81, -133.06891421
6.21, 90.91, -133.07754171
6.21, 91.01, -133.08534806
6.21, 91.11, -133.09247370
6.21, 91.21, -133.09872523
6.21, 91.31, -133.10404642
6.21, 91.42, -133.10837270
6.21, 91.52, -133.11241686
6.21, 91.62, -133.11679764
6.21, 91.72, -133.12076973
6.21, 91.82, -133.12401084
6.21, 91.92, -133.12644660
6.21, 92.02, -133.12810071
6.21, 92.12, -133.12945746
6.21, 92.22, -133.13004363
6.21, 92.32, -133.12980317
6.21, 92.42, -133.12881806
6.21, 92.53, -133.12733811
6.21, 92.63, -133.12604922
6.21, 92.73, -133.12406667
6.21, 92.83, -133.12134639
6.21, 92.93, -133.11774653
6.21, 93.03, -133.11319985
6.21, 93.13, -133.10778345
6.21, 93.23, -133.10189207
6.21, 93.33, -133.09602318
6.21, 93.43, -133.08970030
6.21, 93.53, -133.08339503
6.21, 93.63, -133.07661578
6.21, 93.73, -133.06941943
6.21, 93.83, -133.06153687
6.21, 93.94, -133.05298833
