# Path distance (Angstrom), Energy (eV), Uncertainty (eV)
0.000000000000000000e+00 0.000000000000000000e+00 1.383265574104625313e-02
2.581349994517103119e-01 -1.534871347437629652e-01 1.351790031364945646e-02
5.163379020097382810e-01 -1.700426581646787838e-01 1.282919057825359158e-02
7.746253849608351061e-01 -1.842268129428745738e-01 1.212176638811191323e-02
1.032991995489311643e+00 -1.909080065643173896e-01 1.162612745737799831e-02
1.291413927764277769e+00 -1.888986189614492162e-01 1.141716586908156882e-02
1.549853690774947168e+00 -1.798419106141722068e-01 1.145624249679545043e-02
1.808267894173138046e+00 -1.670755102681305004e-01 1.165494331811034109e-02
2.066654376644011304e+00 -1.545968663146091160e-01 1.191122046375741282e-02
2.325427732177657525e+00 -1.462514714765212887e-01 1.212214022298420749e-02
2.580291042625542097e+00 -1.452305730890266489e-01 1.220193448157965398e-02
2.840859581946872492e+00 -1.539883642137525044e-01 1.212235180166419506e-02
3.099013816222249584e+00 -1.741402094472768169e-01 1.195605336569303435e-02
3.356905128880367961e+00 -2.070178738716847988e-01 1.190732032959604912e-02
3.614763356318600351e+00 -2.540883654790526691e-01 1.226638965314933404e-02
3.872717216054353262e+00 -3.174940089162134882e-01 1.325742745043328487e-02
4.130921319763655397e+00 -4.005944919569728313e-01 1.488180498490215831e-02
4.389546373311470795e+00 -5.084479891269459984e-01 1.692964517627490798e-02
4.648754467046975591e+00 -6.481658122630058472e-01 1.911840837218796094e-02
4.908677163468934346e+00 -8.290167368212486565e-01 2.120433925065634898e-02
5.169408658472940843e+00 -1.062100391490591988e+00 2.301912642009234372e-02
5.431023857104622543e+00 -1.359405186715015645e+00 2.445277577625920573e-02
5.693624969231069421e+00 -1.732146415252241667e+00 2.540680136623973615e-02
5.957414559057013115e+00 -2.188415441031796860e+00 2.574254564503840673e-02
6.222822761565274696e+00 -2.730342670850642861e+00 2.525102828501545049e-02
6.491018262823452289e+00 -3.351741490421993319e+00 2.366584105732114432e-02
6.765138018311947832e+00 -4.037319253867483582e+00 2.075094332308885167e-02
7.042922763084736637e+00 -4.739198519364180129e+00 1.681534493126637594e-02
7.315958998973038696e+00 -5.378020428955878174e+00 1.356963376108289571e-02
7.577608411921647580e+00 -5.889668684026243994e+00 1.281011864083882353e-02
7.819722776765634542e+00 -6.247965788438207824e+00 1.335441144734562588e-02
8.077616453060414869e+00 -6.717739106196024323e+00 1.352014993932991287e-02
