x,spin up,spin down
-20.0,0.0,0.0
-19.95995995995996,0.0,0.0
-19.91991991991992,0.0,0.0
-19.87987987987988,0.0,0.0
-19.83983983983984,0.0,0.0
-19.7997997997998,0.0,0.0
-19.75975975975976,0.0,0.0
-19.71971971971972,0.0,0.0
-19.67967967967968,0.0,0.0
-19.63963963963964,0.0,0.0
-19.5995995995996,0.0,0.0
-19.55955955955956,0.0,0.0
-19.51951951951952,0.0,0.0
-19.47947947947948,0.0,0.0
-19.43943943943944,0.0,0.0
-19.3993993993994,0.0,0.0
-19.35935935935936,0.0,0.0
-19.31931931931932,0.0,0.0
-19.27927927927928,0.0,0.0
-19.23923923923924,0.0,0.0
-19.1991991991992,0.0,0.0
-19.15915915915916,0.0,0.0
-19.11911911911912,0.0,0.0
-19.07907907907908,0.0,0.0
-19.03903903903904,0.0,0.0
-18.998998998999,0.0,0.0
-18.95895895895896,0.0,0.0
-18.91891891891892,0.0,0.0
-18.87887887887888,0.0,0.0
-18.83883883883884,0.0,0.0
-18.7987987987988,0.0,0.0
-18.75875875875876,0.0,0.0
-18.71871871871872,0.0,0.0
-18.67867867867868,0.0,0.0
-18.63863863863864,0.0,0.0
-18.5985985985986,0.0,0.0
-18.55855855855856,0.0,0.0
-18.51851851851852,0.0,0.0
-18.47847847847848,0.0,0.0
-18.43843843843844,0.0,0.0
-18.3983983983984,0.0,0.0
-18.35835835835836,0.0,0.0
-18.31831831831832,0.0,0.0
-18.27827827827828,0.0,0.0
-18.23823823823824,0.0,0.0
-18.1981981981982,0.0,0.0
-18.15815815815816,0.0,0.0
-18.11811811811812,0.0,0.0
-18.07807807807808,0.0,0.0
-18.03803803803804,0.0,0.0
-17.997997997998,0.0,0.0
-17.95795795795796,0.0,0.0
-17.91791791791792,0.0,0.0
-17.87787787787788,0.0,0.0
-17.83783783783784,0.0,0.0
-17.7977977977978,0.0,0.0
-17.75775775775776,0.0,0.0
-17.71771771771772,0.0,0.0
-17.67767767767768,0.0,0.0
-17.63763763763764,0.0,0.0
-17.5975975975976,0.0,0.0
-17.55755755755756,0.0,0.0
-17.51751751751752,0.0,0.0
-17.47747747747748,0.0,0.0
-17.43743743743744,0.0,0.0
-17.3973973973974,0.0,0.0
-17.35735735735736,0.0,0.0
-17.31731731731732,0.0,0.0
-17.27727727727728,0.0,0.0
-17.237237237237238,0.0,0.0
-17.197197197197198,0.0,0.0
-17.157157157157158,0.0,0.0
-17.117117117117118,0.0,0.0
-17.077077077077078,0.0,0.0
-17.037037037037038,0.0,0.0
-16.996996996996998,0.0,0.0
-16.956956956956958,0.0,0.0
-16.916916916916918,0.0,0.0
-16.876876876876878,0.0,0.0
-16.836836836836838,0.0,0.0
-16.796796796796798,0.0,0.0
-16.756756756756758,0.0,0.0
-16.716716716716718,0.0,0.0
-16.676676676676678,0.0,0.0
-16.636636636636638,0.0,0.0
-16.596596596596598,0.0,0.0
-16.556556556556558,0.0,0.0
-16.516516516516518,0.0,0.0
-16.476476476476478,0.0,0.0
-16.436436436436438,0.0,0.0
-16.396396396396398,0.0,0.0
-16.356356356356358,0.0,0.0
-16.316316316316318,0.0,0.0
-16.276276276276278,0.0,0.0
-16.236236236236238,0.0,0.0
-16.196196196196198,0.0,0.0
-16.156156156156158,0.0,0.0
-16.116116116116117,0.0,0.0
-16.076076076076077,0.0,0.0
-16.036036036036037,0.0,0.0
-15.995995995995996,0.0,0.0
-15.955955955955956,0.0,0.0
-15.915915915915916,0.0,0.0
-15.875875875875876,0.0,0.0
-15.835835835835836,0.0,0.0
-15.795795795795796,0.0,0.0
-15.755755755755755,0.0,0.0
-15.715715715715715,0.0,0.0
-15.675675675675675,0.0,0.0
-15.635635635635635,0.0,0.0
-15.595595595595595,0.0,0.0
-15.555555555555555,0.0,0.0
-15.515515515515515,0.0,0.0
-15.475475475475475,0.0,0.0
-15.435435435435435,0.0,0.0
-15.395395395395395,0.0,0.0
-15.355355355355355,0.0,0.0
-15.315315315315315,0.0,0.0
-15.275275275275275,0.0,0.0
-15.235235235235235,0.0,0.0
-15.195195195195195,0.0,0.0
-15.155155155155155,0.0,0.0
-15.115115115115115,0.0,0.0
-15.075075075075075,0.0,0.0
-15.035035035035035,0.0,0.0
-14.994994994994995,0.0,0.0
-14.954954954954955,0.0,0.0
-14.914914914914915,0.0,0.0
-14.874874874874875,0.0,0.0
-14.834834834834835,0.0,0.0
-14.794794794794795,0.0,0.0
-14.754754754754755,0.0,0.0
-14.714714714714715,0.0,0.0
-14.674674674674675,0.0,0.0
-14.634634634634635,0.0,0.0
-14.594594594594595,0.0,0.0
-14.554554554554555,0.0,0.0
-14.514514514514515,0.0,0.0
-14.474474474474475,0.0,0.0
-14.434434434434435,0.0,0.0
-14.394394394394395,0.0,0.0
-14.354354354354355,0.0,0.0
-14.314314314314315,0.0,0.0
-14.274274274274275,0.0,0.0
-14.234234234234235,0.0,0.0
-14.194194194194194,0.0,0.0
-14.154154154154154,0.0,0.0
-14.114114114114114,0.0,0.0
-14.074074074074074,0.0,0.0
-14.034034034034034,0.0,0.0
-13.993993993993994,0.0,0.0
-13.953953953953954,0.0,0.0
-13.913913913913914,0.0,0.0
-13.873873873873874,0.0,0.0
-13.833833833833834,0.0,0.0
-13.793793793793794,0.0,0.0
-13.753753753753754,0.0,0.0
-13.713713713713714,0.0,0.0
-13.673673673673674,0.0,0.0
-13.633633633633634,0.0,0.0
-13.593593593593594,0.0,0.0
-13.553553553553552,0.0,0.0
-13.513513513513512,0.0,0.0
-13.473473473473472,0.0,0.0
-13.433433433433432,0.0,0.0
-13.393393393393392,0.0,0.0
-13.353353353353352,0.0,0.0
-13.313313313313312,0.0,0.0
-13.273273273273272,0.0,0.0
-13.233233233233232,0.0,0.0
-13.193193193193192,0.0,0.0
-13.153153153153152,0.0,0.0
-13.113113113113112,0.0,0.0
-13.073073073073072,0.0,0.0
-13.033033033033032,0.0,0.0
-12.992992992992992,0.0,0.0
-12.952952952952952,0.0,0.0
-12.912912912912912,0.0,0.0
-12.872872872872872,0.0,0.0
-12.832832832832832,0.0,0.0
-12.792792792792792,0.0,0.0
-12.752752752752752,0.0,0.0
-12.712712712712712,0.0,0.0
-12.672672672672672,0.0,0.0
-12.632632632632632,0.0,0.0
-12.592592592592592,0.0,0.0
-12.552552552552552,7e-323,0.0
-12.512512512512512,3.6176e-318,0.0
-12.472472472472472,1.76961180455e-313,0.0
-12.432432432432432,7.98961408286837e-309,0.0
-12.392392392392392,3.329357627859353e-304,0.0
-12.352352352352352,1.2805069609464854e-299,0.0
-12.312312312312311,4.545590296226896e-295,0.0
-12.272272272272271,1.4893113004409196e-290,0.0
-12.232232232232231,4.503680055090911e-286,0.0
-12.192192192192191,1.257003323034996e-281,0.0
-12.152152152152151,3.23811427520109e-277,0.0
-12.112112112112111,7.699007924113689e-273,0.0
-12.072072072072071,1.689523403185614e-268,0.0
-12.032032032032031,3.4220039561618576e-264,0.0
-11.991991991991991,6.3971075544924826e-260,0.0
-11.951951951951951,1.1037574496519603e-255,0.0
-11.911911911911911,1.7577232324991245e-251,0.0
-11.871871871871871,2.5835340405018567e-247,0.0
-11.831831831831831,3.5048120495552e-243,0.0
-11.791791791791791,4.3883587930974785e-239,0.0
-11.751751751751751,5.071382566883454e-235,0.0
-11.711711711711711,5.409255164590012e-231,0.0
-11.671671671671671,5.325193746877226e-227,0.0
-11.631631631631631,4.83860542786946e-223,0.0
-11.591591591591591,4.05781135565956e-219,0.0
-11.551551551551551,3.140872796004554e-215,0.0
-11.511511511511511,2.2438596698650934e-211,0.0
-11.471471471471471,1.4795440083860665e-207,0.0
-11.431431431431431,9.004237306759022e-204,0.0
-11.391391391391391,5.057697223926763e-200,0.0
-11.35135135135135,2.6220777885286836e-196,0.0
-11.31131131131131,1.2546574399602752e-192,0.0
-11.27127127127127,5.541044153584598e-189,0.0
-11.23123123123123,2.258629027743125e-185,0.0
-11.19119119119119,8.497380189070609e-182,0.0
-11.15115115115115,2.9506115921641865e-178,0.0
-11.11111111111111,9.456401184559705e-175,0.0
-11.07107107107107,2.797219731613235e-171,0.0
-11.03103103103103,7.636847661021877e-168,0.0
-10.99099099099099,1.9243697513570285e-164,0.0
-10.95095095095095,4.475584550181976e-161,0.0
-10.91091091091091,9.607222749356146e-158,0.0
-10.87087087087087,1.9034120061419144e-154,0.0
-10.83083083083083,3.480603868296172e-151,0.0
-10.79079079079079,5.874396313014054e-148,0.0
-10.75075075075075,9.150793113595308e-145,0.0
-10.71071071071071,1.3156521528104394e-141,0.0
-10.67067067067067,1.7458634566623275e-138,0.0
-10.63063063063063,2.1382885904100387e-135,0.0
-10.59059059059059,2.4171812263644343e-132,0.0
-10.55055055055055,2.5219644267775865e-129,0.0
-10.51051051051051,2.4285975369472608e-126,0.0
-10.47047047047047,2.1585344980445032e-123,0.0
-10.43043043043043,1.7707175339153338e-120,0.0
-10.39039039039039,1.3406840154872815e-117,0.0
-10.35035035035035,9.368939298034271e-115,0.0
-10.31031031031031,6.042842413394187e-112,0.0
-10.27027027027027,3.597319089740119e-109,0.0
-10.23023023023023,1.976530434216299e-106,0.0
-10.19019019019019,1.002339624940031e-103,0.0
-10.15015015015015,4.691515363808277e-101,0.0
-10.11011011011011,2.0267409214814043e-98,0.0
-10.07007007007007,8.081094394041695e-96,0.0
-10.03003003003003,2.9739178873777365e-93,0.0
-9.98998998998999,1.0101238291940761e-90,0.0
-9.94994994994995,3.1667013679550736e-88,0.0
-9.90990990990991,9.162762988839059e-86,0.0
-9.86986986986987,2.4469925443038167e-83,0.0
-9.82982982982983,6.031504959576488e-81,0.0
-9.78978978978979,1.3721626141399005e-78,0.0
-9.74974974974975,2.8811928308641423e-76,0.0
-9.70970970970971,5.583749396152908e-74,0.0
-9.66966966966967,9.987720065850007e-72,0.0
-9.62962962962963,1.648897480770889e-69,0.0
-9.58958958958959,2.512509991001786e-67,0.0
-9.54954954954955,3.5335300603974955e-65,0.0
-9.50950950950951,4.5866608998037834e-63,0.0
-9.46946946946947,5.4950459191881425e-61,2.30437e-319
-9.42942942942943,6.076211309586711e-59,1.14447242e-314
-9.38938938938939,6.20127886338833e-57,5.24646838389805e-310
-9.34934934934935,5.8413940523177205e-55,2.2198091567574788e-305
-9.30930930930931,5.078536718187776e-53,8.668641985063358e-301
-9.26926926926927,4.075186973585871e-51,3.1244483180969216e-296
-9.22922922922923,3.018167456250052e-49,1.0393994284758039e-291
-9.18918918918919,2.0631270561288566e-47,3.191379507285955e-287
-9.14914914914915,1.3016537293130552e-45,9.04401513079203e-283
-9.10910910910911,7.579696380071456e-44,2.3655436077360323e-278
-9.06906906906907,4.073755894376783e-42,5.710675551190735e-274
-9.02902902902903,2.020807961532832e-40,1.272421107641147e-269
-8.98898898898899,9.252134478973601e-39,2.616743131701447e-265
-8.94894894894895,3.909720206772102e-37,4.966817138140961e-261
-8.90890890890891,1.5248821165215205e-35,8.70125906115728e-257
-8.86886886886887,5.489258883306827e-34,1.4069312531049816e-252
-8.82882882882883,1.8238033351936485e-32,2.0996673983431637e-248
-8.78878878878879,5.592798179256913e-31,2.892111170486704e-244
-8.74874874874875,1.5829497910939922e-29,3.676768707131028e-240
-8.70870870870871,4.135156799096244e-28,4.314241862293125e-236
-8.66866866866867,9.970195498045027e-27,4.672287048204442e-232
-8.62862862862863,2.218718559864166e-25,4.670263603701272e-228
-8.588588588588589,4.557090029528637e-24,4.30863913570566e-224
-8.548548548548549,8.638927930238954e-23,3.668814041422951e-220
-8.508508508508509,1.5115375607473069e-21,2.8833550727544007e-216
-8.468468468468469,2.440983741119155e-20,2.091497764762285e-212
-8.428428428428429,3.638293080975985e-19,1.4002433936229143e-208
-8.388388388388389,5.0051526295184685e-18,8.652398430355609e-205
-8.348348348348349,6.355120983575517e-17,4.934649800610365e-201
-8.308308308308309,7.447614231381277e-16,2.5975446097174605e-197
-8.268268268268269,8.05559046123825e-15,1.2619918266379315e-193
-8.228228228228229,8.04200694116371e-14,5.658963848942287e-190
-8.188188188188189,7.410002807779452e-13,2.34209305823108e-186
-8.148148148148149,6.301721046486925e-12,8.946604193557874e-183
-8.108108108108109,4.946373018265888e-11,3.154272077017972e-179
-8.068068068068069,3.583450959558732e-10,1.0264243081657053e-175
-8.028028028028029,2.396089386876701e-09,3.0827730649759086e-172
-7.987987987987989,1.4787391683899668e-08,8.545609293162131e-169
-7.947947947947949,8.423008683600867e-08,2.1864087664520114e-165
